ID;Codigo;Nombre;AreaProtegida;Provincia;Canton;Distrito;Altitud;ProcesoGeomorfólogicoPrincipal;Caracteristica;Clasificacion;ValoresCientificos;ValoresAnadidos;Latitud;Longitud
1;PVAvol001;Cráter Principal;Parque Nacional Volcán Poás;Alajuela;Sarchí;Toro Amarillo;2268;Volcánico;Natural;Alta;0.94;0.94;10.1958333333333;-84.2419444444444
2;PVAvol002;Cono Botos;Parque Nacional Volcán Poás;Alajuela;Poás;Sabana Redonda;2708;Volcánico;Natural;Alta;0.88;0.86;10.1866666666667;-84.2266666666667
3;PVAvol003;Cono Von Fratzius;Parque Nacional Volcán Poás;Alajuela;Sarchí;Toro Amarillo;2639;Volcánico;Natural;Alta;0.88;0.85;10.2133333333333;-84.2302777777778
4;PVAvol004;Volcán Congo;Parque Nacional Volcán Poás;Alajuela;Río Cuarto;Río Cuarto;2014;Volcánico;Natural;Media;0.5;0.3;10.2616666666667;-84.2275
5;PVAvol005;Relicto Calderico;Parque Nacional Volcán Poás;Alajuela;Sarchí;Toro Amarillo;2564;Volcánico;Natural;Baja;0.19;0.1;10.1872222222222;-84.2388888888889
6;IRAvol001;Cráter Principal;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3174;Volcánico;Natural;Alta;0.94;0.92;9.9825;-83.8497222222222
7;IRAvol002;Cráter Diego de la Haya;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3275;Volcánico;Natural;Alta;0.88;0.9;9.98138888888889;-83.8458333333333
8;IRAvol003;Cráter Playa Hermosa;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3312;Volcánico;Natural;Alta;0.88;0.75;9.97777777777778;-83.8491666666667
9;IRAvol004;Domo;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3384;Volcánico;Natural;Baja;0.31;0.2;9.97944444444444;-83.8427777777778
10;IRAvol005;Cueva Los Minerales;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;2905;Volcánico;Natural;Alta;0.75;0.5;9.98666666666667;-83.8541666666667
11;IRAvol006;Cueva Los Mucolitos;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;2890;Volcánico;Natural;Alta;0.75;0.5;9.98722222222222;-83.8544444444444
12;IRAvol007;Cerro Retes;Parque Nacional Volcán Irazú;San José;Vázquez de Coronado;Cascajal;3180;Volcánico;Natural;Baja;0.38;0.4;9.97166666666667;-83.8716666666667
13;IRAvol008;Cerro Cabeza de Vaca;Parque Nacional Volcán Irazú;Cartago;Cartago;Llano Grande;3059;Volcánico;Natural;Alta;0.63;0.62;9.96944444444444;-83.8872222222222
14;IRAvol009;Laguna Reventado;Parque Nacional Volcán Irazú;Cartago;Cartago;Tierra Blanca;2982;Volcánico;Natural;Media;0.56;0.6;9.96777777777778;-83.8694444444444
15;IRAvol010;Cráter Valle Lunar;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3272;Volcánico;Natural;Media;0.5;0.6;9.98111111111111;-83.8372222222222
16;IRAvol011;Cerro Sapper;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3432;Volcánico;Natural;Alta;0.81;0.79;9.97666666666667;-83.8533333333333
17;CHIgla001;Valle Talari;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3320;Glacial y fluvial;Natural;Media;0.5;0.4;9.45555555555556;-83.5047222222222
18;CHIgla002;Valle de los Conejos;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3500;Glacial y fluvial;Natural;Alta;0.69;0.6;9.46555555555556;-83.4941666666667
