Código;Nombre;Área Protegida;Provincia;Cantón;Distrito;Altitud (msnm);Coordenadas;Latitud;Longitud;Proceso Geomorfólogico Principal;Caracteristica;Clasificación
PVAvol001;Cráter Principal;Parque Nacional Volcán Poás;Alajuela;Sarchí;Toro Amarillo;2268;"10°11'45"" N - 84°14'31"" W";10.19583333;-84.24194444;Volcánico;Natural;Alta
PVAvol002;Cono Botos;Parque Nacional Volcán Poás;Alajuela;Poás;Sabana Redonda;2708;"10°11'12"" N - 84°13'36"" W";10.18666667;-84.22666667;Volcánico;Natural;Alta
PVAvol003;Cono Von Fratzius;Parque Nacional Volcán Poás;Alajuela;Sarchí;Toro Amarillo;2639;"10°12'48"" N - 84°13'49"" W";10.21333333;-84.23027778;Volcánico;Natural;Alta
PVAvol004;Volcán Congo;Parque Nacional Volcán Poás;Alajuela;Río Cuarto;Río Cuarto;2014;"10°15'42"" N - 84°13'39"" W";10.26166667;-84.2275;Volcánico;Natural;Media
PVAvol005;Relicto Calderico;Parque Nacional Volcán Poás;Alajuela;Sarchí;Toro Amarillo;2564;"10°11'14"" N - 84°14'20"" W";10.18722222;-84.23888889;Volcánico;Natural;Baja
IRAvol001;Cráter Principal;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3174;"9°58'57"" N - 83°50'59"" W";9.9825;-83.84972222;Volcánico;Natural;Alta
IRAvol002;Cráter Diego de la Haya;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3275;"9°58'53"" N - 83°50'45"" W";9.981388889;-83.84583333;Volcánico;Natural;Alta
IRAvol003;Cráter Playa Hermosa;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3312;"9°58'40"" N - 83°50'57"" W";9.977777778;-83.84916667;Volcánico;Natural;Alta
IRAvol004;Domo;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3384;"9°58'46"" N - 83°50'34"" W";9.979444444;-83.84277778;Volcánico;Natural;Baja
IRAvol005;Cueva Los Minerales;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;2905;"9°59'12"" N - 83°51'15"" W";9.986666667;-83.85416667;Volcánico;Natural;Alta
IRAvol006;Cueva Los Mucolitos;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;2890;"9°59'14"" N - 83°51'16"" W";9.987222222;-83.85444444;Volcánico;Natural;Alta
IRAvol007;Cerro Retes;Parque Nacional Volcán Irazú;San José;Vázquez de Coronado;Cascajal;3180;"9°58'18"" N - 83°52'18"" W";9.971666667;-83.87166667;Volcánico;Natural;Baja
IRAvol008;Cerro Cabeza de Vaca;Parque Nacional Volcán Irazú;Cartago;Cartago;Llano Grande;3059;"9°58'10"" N - 83°53'14"" W";9.969444444;-83.88722222;Volcánico;Natural;Alta
IRAvol009;Laguna Reventado;Parque Nacional Volcán Irazú;Cartago;Cartago;Tierra Blanca;2982;"9°58'04"" N - 83°52'10"" W";9.967777778;-83.86944444;Volcánico;Natural;Media
IRAvol010;Cráter Valle Lunar;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3272;"9°58'52"" N - 83°50'14"" W";9.981111111;-83.83722222;Volcánico;Natural;Media
IRAvol011;Cerro Sapper;Parque Nacional Volcán Irazú;Cartago;Oreamuno;Santa Rosa;3432;"9°58'36"" N - 83°51'12"" W";9.976666667;-83.85333333;Volcánico;Natural;Alta
CHIgla001;Valle Talari;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3320;"9°27'20"" N - 83°30'17"" W";9.455555556;-83.50472222;Glacial y fluvial;Natural;Media
CHIgla002;Valle de los Conejos;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3500;"9°27'56"" N - 83°29'39"" W";9.465555556;-83.49416667;Glacial y fluvial;Natural;Alta
CHIgla003;Valle de los Lagos;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3520;"9°28'53"" N - 83°29'38"" W";9.481388889;-83.49388889;Glacial y fluvial;Natural;Alta
CHIgla004;Cerro Chirripó;Parque Nacional Chirripó;Limón;Limón;Valle La Estrella;3820;"9°29'04"" N - 83°29'19"" W";9.484444444;-83.48861111;Glacial;Natural;Alta
CHIgla005;Valle de las Morrenas;Parque Nacional Chirripó;Limón;Limón;Valle La Estrella;3520;"9°29'28"" N - 83°29'14"" W";9.491111111;-83.48722222;Glacial y fluvial;Natural;Alta
CHIgla006;Laguna Ditkevi;Parque Nacional Chirripó;Limón;Talamanca;Telire;3460;"9°28'12"" N - 83°28'48"" W";9.47;-83.48;Glacial y fluvial;Natural;Alta
CHIgla007;Morrena Loma Larga;Parque Nacional Chirripó;Cartago;Turrialba;Chirripó;3400;"9°30'30"" N - 83°29'47"" W";9.508333333;-83.49638889;Glacial;Natural;Alta
CHIgla008;Cerro Ventisqueros;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3812;"9°28'33"" N - 83°30'37"" W";9.475833333;-83.51027778;Glacial;Natural;Alta
CHIvol009;Los Crestones;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3715;"9°27'05"" N - 83°29'54"" W";9.451388889;-83.49833333;Volcánico;Natural;Alta
CHIgla010;Sabana de los Leones;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3200;"9°25'14"" N - 83°30'33"" W";9.420555556;-83.50916667;Glaciofluvial;Natural;Alta
CHIgla011;Cerros Cuerici;Parque Nacional Chirripó;Cartago;Paraíso;Orosi;3345;"9°34'52"" N - 83°38'07"" W";9.581111111;-83.63527778;Periglacial;Natural;Alta
CHIgla012;Cerro Urán;Parque Nacional Chirripó;Cartago;Turrialba;Chirripó;3600;"9°30'36"" N - 83°32'05"" W";9.51;-83.53472222;Glacial;Natural;Media
CHIgla013;Cerro Terbi;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3765;"9°27'19"" N - 83°29'41"" W";9.455277778;-83.49472222;Glacial;Natural;Media
CHIgla014;Cerro Laguna;Parque Nacional Chirripó;Limón;Limón;Valle La Estrella;3749;"9°30'10"" N - 83°28'54"" W";9.502777778;-83.48166667;Glacial;Natural;Media
PIAgla001;Cerro Kamuk;Parque Internacional La Amistad;Limón;Talamanca;Telire;3549;9,27067, -83,03241;9.27067;-83.03241;Periglacial;Natural;Alta
PIA002;Sabanas Esperanza;Parque Internacional La Amistad;Puntarenas;Buenos Aires;Biolley;1800;"9°04'51"" N - 83°01'40"" W";9.08083333;-83.02777778;;Natural;Baja
PIA003;Valle del Silencio;Parque Internacional La Amistad;Puntarenas;Buenos Aires;Biolley;2559;"9°04'06"" N - 82°58'50"" W";9.068333333;-82.98055556;;Natural;Baja
PCBflu001;Sitio Arqueológico Piedra Pintada;No Aplica;Puntarenas;Coto Brus;San Vito;910;"8°51'46"" N - 82°57'57"" W";8.862777778;-82.96583333;Fluvial;Natural;Alta
PCBflu002;Humedal Laguna El Campo;No Aplica;Puntarenas;Coto Brus;San Vito;1000;"8°49'45"" N - 82°57'30"" W";8.829166667;-82.95833333;Fluvial;Natural;Baja
PCBflu003;Humedal de San Vito;No Aplica;Puntarenas;Coto Brus;San Vito;990;"8°49'36,15"" N - 82°57'3,01"" W";8.826708333;-82.95083611;Fluvial;Natural;Baja
PCBflu004;Humedal Laguna Zoncho;No Aplica;Puntarenas;Coto Brus;San Vito;1190;8,813, -82,963;8.813;-82.963;Fluvial;Natural;Baja
PCBflu005;Humedal Laguna Los Gamboa;No Aplica;Puntarenas;Coto Brus;San Vito;1454;"8°47'19"" N - 82°59'05"" W";8.788611111;-82.98472222;Fluvial;Natural;Baja
PCBflu006;Humedal Palustrino Laguna El Paraguas;No Aplica;Puntarenas;Coto Brus;San Vito;1400;"8°46'56"" N - 82°58'52"" W";8.782222222;-82.98111111;Fluvial;Natural;Baja
PCBflu007;Catarata La Neblina;No Aplica;Puntarenas;Coto Brus;Sabalito;1650;"8°54'32"" N - 82°45'38"" W";8.908888889;-82.76055556;Fluvial;Natural;Media
PCBflu008;Toma de agua Acueducto Las Tablas;No Aplica;Puntarenas;Coto Brus;Sabalito;1780;"8°56'34,3"" N - 82°44'45"" W";8.942861111;-82.74583333;Fluvial;Antrópica;Baja
PCBflu009;Catarata Salto del Ángel;No Aplica;Puntarenas;Coto Brus;Sabalito;1950;"8°55'47"" N - 82°44'55"" W";8.929722222;-82.74861111;Fluvial;Natural;Media
PCBtec010;Cerro Pelón;No Aplica;Puntarenas;Coto Brus;Sabalito;1450;"8°55'02""N - 82°47'13"" W";8.917222222;-82.78694444;Tectónico;Natural;Baja
PCBvol011;Cerro Quijada del Diablo;No Aplica;Puntarenas;Coto Brus;Sabalito;1850;"8°53'57"" N - 82°44'37"" W";8.899166667;-82.74361111;Volcánico;Natural;Alta
PCBflu012;Laguna Cañas Gordas;No Aplica;Puntarenas;Coto Brus;Agua Buena;1154;"8°44'56"" N - 82°55'10"" W";8.748888889;-82.91944444;Fluvial;Natural;Baja
